id,project_name,sector,country,budget,year
1,Renewable Energy Storage,AI & ML,Italy,2508402,2016
2,Renewable Energy Storage,Education,France,2270778,2020
3,AI Healthcare Platform,Biotechnology,Australia,2097992,2024
4,Satellite Communication System,Technology,China,4495581,2018
5,Climate Monitoring System,Education,France,1127992,2020
6,National Data Hub,Energy,India,3725086,2025
7,Climate Monitoring System,Transport,France,4917482,2022
8,National Data Hub,AI & ML,Spain,4808813,2023
9,Smart City Initiative,Cybersecurity,Russia,1508798,2019
10,Green Hydrogen Mission,Healthcare,India,2088531,2021
11,National Data Hub,Education,South Africa,61205,2017
12,Climate Monitoring System,Cybersecurity,Australia,1140843,2015
13,Smart City Initiative,Education,South Korea,1531983,2018
14,Renewable Energy Storage,Technology,Japan,3304799,2024
15,AI Healthcare Platform,Cybersecurity,India,2474755,2017
16,Solar Grid Expansion,Agriculture,Malaysia,2020048,2020
17,AgriTech Innovation,AI & ML,Singapore,2274956,2020
18,Satellite Communication System,Technology,Canada,1906247,2016
19,Renewable Energy Storage,Biotechnology,Canada,83283,2016
20,Urban Mobility Project,Space Research,Japan,731664,2019
21,National Data Hub,Space Research,USA,3048468,2020
22,Renewable Energy Storage,Agriculture,Australia,3244551,2021
23,AI Healthcare Platform,Transport,Brazil,3757996,2020
24,Cyber Defense Program,Education,Brazil,1122239,2016
25,Green Hydrogen Mission,Space Research,China,1493295,2015
26,Solar Grid Expansion,Education,South Africa,3294375,2023
27,Clean Water Initiative,Energy,Thailand,363626,2023
28,AgriTech Innovation,Healthcare,Thailand,1530203,2022
29,Climate Monitoring System,Space Research,Germany,1278139,2021
30,Digital Education Drive,Energy,South Africa,4229201,2024
31,Clean Water Initiative,Education,Australia,2034894,2020
32,AI Healthcare Platform,Transport,China,1059226,2016
33,Climate Monitoring System,Space Research,USA,3829006,2020
34,AI Healthcare Platform,Energy,Brazil,1652616,2024
35,AI Healthcare Platform,Education,Malaysia,2379561,2024
36,Cyber Defense Program,Education,UK,759998,2019
37,Satellite Communication System,Technology,Singapore,1375607,2025
38,Urban Mobility Project,Healthcare,UK,3407613,2017
39,Satellite Communication System,Transport,South Korea,4628165,2020
40,Digital Education Drive,Technology,Thailand,2722939,2015
41,AI Healthcare Platform,Environment,France,479528,2025
42,AgriTech Innovation,Infrastructure,India,4407137,2025
43,AI Healthcare Platform,Transport,South Africa,2108780,2016
44,Cyber Defense Program,Education,UAE,973630,2025
45,AgriTech Innovation,Space Research,Japan,3887076,2019
46,AI Healthcare Platform,Environment,Canada,1027649,2015
47,Smart City Initiative,Technology,India,4105308,2018
48,Renewable Energy Storage,Healthcare,South Africa,3072168,2023
49,Cyber Defense Program,Biotechnology,South Korea,3168913,2015
50,Digital Education Drive,Environment,Italy,190333,2022
51,AI Healthcare Platform,Education,France,314884,2023
52,Digital Education Drive,Cybersecurity,South Korea,3980993,2020
